14.598499,251.066352,9.440662
14.733569,280.117127,9.585890
17.980760,242.092117,10.544247
12.052580,160.839660,6.161638
16.126428,225.967903,10.689718
16.538059,223.115868,8.789296
11.632106,186.419908,7.019572
14.368947,234.641157,10.261329
13.075403,221.664216,7.586806
16.176437,267.109137,12.222013
15.613297,228.777023,9.607068
10.507728,148.952401,5.971485
16.160531,227.142119,9.268399
12.684871,196.663163,8.411777
17.841684,246.162043,11.998518
13.482572,237.574407,8.880204
16.894811,247.839847,9.427142
